Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
02.01.2014;1.845,86;1.845,86;1.827,74;1.831,98;446.076.890
03.01.2014;1.833,21;1.838,24;1.829,13;1.831,37;387.737.913
06.01.2014;1.832,31;1.837,16;1.823,73;1.826,77;491.156.690
07.01.2014;1.828,71;1.840,10;1.828,71;1.837,88;496.528.166
08.01.2014;1.837,90;1.840,02;1.831,40;1.837,49;576.758.133
09.01.2014;1.839,00;1.843,23;1.830,38;1.838,13;520.632.513
10.01.2014;1.840,06;1.843,15;1.832,43;1.842,37;486.021.929
13.01.2014;1.841,26;1.843,45;1.815,52;1.819,20;574.069.139
14.01.2014;1.821,36;1.839,26;1.821,36;1.838,88;510.487.384
15.01.2014;1.840,52;1.850,84;1.840,52;1.848,38;556.881.209
16.01.2014;1.847,99;1.847,99;1.840,30;1.845,89;473.037.269
17.01.2014;1.844,23;1.846,04;1.835,23;1.838,70;806.647.919
21.01.2014;1.841,05;1.849,31;1.832,38;1.843,80;594.305.066
22.01.2014;1.844,71;1.846,87;1.840,88;1.844,86;500.007.322
23.01.2014;1.842,29;1.842,29;1.820,06;1.828,46;581.097.348
24.01.2014;1.826,96;1.826,96;1.790,29;1.790,29;711.185.331
27.01.2014;1.791,03;1.795,98;1.772,88;1.781,56;631.898.883
28.01.2014;1.783,00;1.793,87;1.779,49;1.792,50;494.782.437
29.01.2014;1.790,15;1.790,15;1.770,45;1.774,20;601.114.889
30.01.2014;1.777,17;1.798,77;1.777,17;1.794,19;545.041.082
31.01.2014;1.790,88;1.793,88;1.772,26;1.782,59;755.380.061
03.02.2014;1.782,68;1.784,83;1.739,66;1.741,89;744.277.160
04.02.2014;1.743,82;1.758,73;1.743,82;1.755,20;620.707.857
05.02.2014;1.753,38;1.755,79;1.737,92;1.751,64;578.631.983
06.02.2014;1.752,99;1.774,06;1.752,99;1.773,43;561.418.384
07.02.2014;1.776,01;1.798,03;1.776,01;1.797,02;589.310.959
10.02.2014;1.796,20;1.799,94;1.791,83;1.799,84;485.826.474
11.02.2014;1.800,45;1.823,54;1.800,41;1.819,75;532.935.315
12.02.2014;1.820,12;1.826,55;1.815,97;1.819,26;483.526.499
13.02.2014;1.814,82;1.830,25;1.809,22;1.829,83;534.755.356
14.02.2014;1.828,46;1.841,65;1.825,59;1.838,63;488.468.773
18.02.2014;1.839,03;1.842,87;1.835,01;1.840,76;538.004.458
19.02.2014;1.838,90;1.847,50;1.826,99;1.828,75;516.752.864
20.02.2014;1.829,24;1.842,79;1.824,58;1.839,78;512.917.477
21.02.2014;1.841,07;1.846,13;1.835,60;1.836,25;673.576.385
24.02.2014;1.836,78;1.858,71;1.836,78;1.847,61;694.457.178
25.02.2014;1.847,66;1.852,91;1.840,19;1.845,12;498.266.385
26.02.2014;1.845,79;1.852,65;1.840,66;1.845,16;493.821.506
27.02.2014;1.844,90;1.854,53;1.841,13;1.854,29;506.493.789
28.02.2014;1.855,12;1.867,92;1.847,67;1.859,45;716.526.988
03.03.2014;1.857,68;1.857,68;1.834,44;1.845,73;498.458.211
04.03.2014;1.849,23;1.876,23;1.849,23;1.873,91;544.441.906
05.03.2014;1.874,05;1.876,53;1.871,11;1.873,81;482.066.998
06.03.2014;1.874,18;1.881,94;1.874,18;1.877,03;498.566.077
07.03.2014;1.878,52;1.883,57;1.870,56;1.878,04;497.040.706
10.03.2014;1.877,86;1.877,87;1.867,04;1.877,17;430.738.722
11.03.2014;1.878,26;1.882,35;1.863,88;1.867,63;442.986.543
12.03.2014;1.866,15;1.868,38;1.854,38;1.868,20;449.370.547
13.03.2014;1.869,06;1.874,40;1.841,86;1.846,34;512.753.125
14.03.2014;1.845,07;1.852,44;1.839,57;1.841,13;491.443.762
17.03.2014;1.842,81;1.862,30;1.842,81;1.858,83;452.592.693
18.03.2014;1.858,92;1.873,76;1.858,92;1.872,25;408.703.209
19.03.2014;1.872,25;1.874,14;1.850,35;1.860,77;499.477.479
20.03.2014;1.860,09;1.873,49;1.854,63;1.872,01;467.186.484
21.03.2014;1.874,53;1.883,97;1.863,46;1.866,52;1.546.978.295
24.03.2014;1.867,67;1.873,34;1.849,69;1.857,44;588.008.930
25.03.2014;1.859,48;1.871,87;1.855,96;1.865,62;491.561.997
26.03.2014;1.867,09;1.875,92;1.852,56;1.852,56;557.827.135
27.03.2014;1.852,11;1.855,55;1.842,11;1.849,04;583.008.429
28.03.2014;1.850,07;1.866,63;1.850,07;1.857,62;453.538.162
31.03.2014;1.859,16;1.875,18;1.859,16;1.872,34;577.814.815
