;symbol;name;asset_type;div_yield;eps;pe_ratio
263;CEN;CTR COAST MLP &/COM;Stock;26.15;N/A;N/A
46;VET;Vermilion Energy;Stock;21.18;0.31;5.59
100;OXLC;Oxford Lane Capital;Stock;20.02;1.28;N/A
176;SJT;San Juan Basin Royalty Trust;Stock;18.57;N/A;N/A
200;CRT;Cross Timbers Royalty Trust;Stock;17.54;N/A;7.03
112;ECC;EAGLE POINT CR/COM;Stock;16.99;1.31;-201.26
362;EDF;Stone Harbor Emerging Markets Income Fnd;Stock;16.95;N/A;N/A
381;KYN;Kayne Anderson MLP Midstream Invstmnt;Stock;16.09;N/A;N/A
104;ORC;Orchid Island Capital;Stock;16.07;0.92;13.58
293;EDI;Stone Harbor Emerging Mkt Total Incom FD;Stock;15.95;N/A;N/A
302;MIE;Cohen & Strs MLP Inc & Ergy Oprty Fd;Stock;15.89;N/A;N/A
133;OXSQ;Oxford Square Capital;Stock;15.84;0.75;-7.43
152;PBT;Permian Basin Royalty Trust;Stock;15.67;N/A;8.15
190;PVL;Permianville Royalty Trust;Stock;15.63;0.05;N/A
265;FPL;First Trust New Opprtnts MLP & Engy Fd;Stock;15.54;N/A;N/A
187;GECC;Great Elm Capital;Stock;15.09;1.02;-3.66
375;SZC;CUSHING RENAISS/COM;Stock;14.62;N/A;N/A
172;CPTA;Capitala Finance;Stock;14.33;0.86;-4.05
380;KMF;Kayne Anderson Midstream Energy Fd;Stock;13.78;N/A;N/A
351;HIE;MILLER HOWARD/COM;Stock;13.53;N/A;N/A
196;OCCI;OFS Credit;Stock;13.46;1.89;N/A
348;OPP;RIVERNORTH DO/COM;Stock;13.17;N/A;N/A
191;PRT;PermRock Royalty Trust;Stock;13.01;1.26;5.19
341;DEX;DE ENHANCED GLB/COM;Stock;12.68;N/A;N/A
39;PSEC;Prospect Capital;Stock;12.54;0.72;15.51
197;HCAP;Harvest Capital Credit;Stock;12.5;0.91;85.44
350;IID;Voya International High Div Eqt Incm Fd;Stock;12.47;N/A;N/A
305;ETW;Eaton Vance Tax-Managed Global Buy-Write;Stock;11.59;N/A;N/A
324;RA;BROOKFIELD RL A/SHS BEN INT;Stock;11.29;N/A;N/A
304;EXG;Eaton Vance Tax-Managed Global Dive Eq;Stock;11.14;N/A;N/A
428;GNT;Gamco Natural Resources Gold & Incm Trst;Stock;11.12;N/A;N/A
347;XFLT;XAI OCTAGON FR/COM;Stock;10.9;N/A;N/A
19;AGNC;AGNC Investment;Stock;10.84;2.27;15.41
245;FDEU;First Trust Dynamic Europe Eqty Incm Fd;Stock;10.81;N/A;N/A
65;EFC;Ellington Financial;Stock;10.77;1.68;9.35
134;SCM;Stellus Capital Investment;Stock;10.75;1.31;8.61
233;CHI;CALAMOS CONV. OPPTYS. & INCOME FUND;Stock;10.62;N/A;N/A
434;BGH;Barings Global Short Duratin Hgh Yld Fnd;Stock;10.54;N/A;N/A
52;AFIN;American Finance Trust;Stock;10.42;-0.09;-352.00
51;ARR;ARMOUR Residential REIT;Stock;10.4;2.31;-4.24
217;MTR;Mesa Royalty Trust;Stock;10.27;N/A;5.50
254;ETJ;Eaton Vance Risk-Mngd Dvrsfd Eqty Inc Fd;Stock;10.12;N/A;N/A
269;TPZ;Tortoise Power & Energy Infrstrct Fd;Stock;10.1;N/A;N/A
93;PFLT;Pennantpark Floating Rate Capital;Stock;9.91;1.17;27.38
74;CLDT;Chatham Lodging Trust;Stock;9.87;0.43;34.26
231;CCD;Calamos Dynamic Convertible & Incm Fd;Stock;9.82;N/A;N/A
99;DX;Dynex Capital;Stock;9.7;2.09;-2.73
44;CLNC;Colony Credit Real Estate;Stock;9.57;1.39;-3.86
246;BGR;BlackRock Global Energy & Resources Trus;Stock;9.5;N/A;N/A
35;APLE;Apple Hospitality REIT;Stock;9.47;0.72;16.45
239;CSSEP;Chick Soup Preferred A;Stock;9.45;N/A;N/A
148;HRZN;Horizon Technology Finance;Stock;9.43;1.33;8.90
123;GLAD;Gladstone Capital;Stock;9.31;0.84;10.87
270;ETV;Eaton Vance Tax Managed Buy Write Opport;Stock;9.31;N/A;N/A
382;BCX;BlackRock Resources and Commodities;Stock;9.28;N/A;N/A
398;AVK;Advent Claymore Convertible Sec & Inc Fd;Stock;9.21;N/A;N/A
424;ETO;Eaton Vance Tax-Advantaged Global Divide;Stock;9.05;N/A;N/A
94;MIN;MFS Intermediate Income Trust;Stock;8.86;N/A;N/A
198;MFV;MFS Special Value Trust;Stock;8.85;N/A;N/A
78;WSR;Whitestone REIT;Stock;8.81;1.94;23.11
369;SRF;Cushing Energy Income Cf;Stock;8.79;N/A;N/A
401;ETY;Eaton Vance Tax Managed Diversified Eq.;Stock;8.78;N/A;N/A
101;EMD;Western Asset Emerging Mrkts Dbt Fnd;Stock;8.73;N/A;N/A
298;BIT;Blackrock Multi-Sector Income Trust;Stock;8.72;N/A;N/A
419;FIF;1ST TR ENERGY I/SH;Stock;8.67;N/A;N/A
49;BRMK;Broadmark Realty Capital;Stock;8.64;1.18;46.33
230;USOI;X-Links Crude Oil Shares Covered Call ETN;Stock;8.54;N/A;N/A
399;BGY;Blackrock Enhanced Internationl Dvdnd Tr;Stock;8.49;N/A;N/A
361;MCR;MFS Charter Income Trust;Stock;8.42;N/A;N/A
365;PHT;Pioneer High Income Trust;Stock;8.42;N/A;N/A
108;MMT;MFS Multimarket Income Trust;Stock;8.4;N/A;N/A
273;ACV;Allianzgi Diversified Incm and Cnvrtb Fd;Stock;8.36;N/A;N/A
257;ETB;Eaton Vance Tax-Managed Buy-Write Income;Stock;8.23;N/A;N/A
236;TEAF;TORTOISE ESSENT/COM SH BEN INT;Stock;8.23;N/A;N/A
173;VLT;Invesco Van Kampen High Income Trust II;Stock;8.21;N/A;N/A
124;SUNS;Solar Senior Capital;Stock;8.15;1.41;12.09
303;FOF;Cohen & Steers Clsd-End Optuny Fnd;Stock;8.08;N/A;N/A
81;PPT;Putnam Premier Income Trust;Stock;8.01;N/A;N/A
274;FAM;First Trust/Aberdeen Global Opportunity;Stock;7.97;N/A;N/A
27;EPR;EPR Properties;Stock;7.83;3.07;24.66
446;IGR;CBRE Clarion Global Real Estate Incm Fd;Stock;7.81;N/A;N/A
136;PIM;Putnam Master Int. Income;Stock;7.81;N/A;N/A
360;GUT;Gabelli Utility Trust;Stock;7.63;N/A;N/A
234;HFRO;HIGHLAND FR OPP/SH BEN INT;Stock;7.53;N/A;N/A
86;SBR;Sabine Royalty Trust;Stock;7.51;N/A;10.39
73;GOOD;Gladstone Commercial;Stock;7.51;-0.12;-124.69
400;BOE;BlackRock Enhanced Global Dividend Trust;Stock;7.44;N/A;N/A
153;INF;Brookfield Glbl Lstd Infrstr Incm Fd;Stock;7.35;N/A;N/A
306;ETG;Eaton Vance Tax-Advantaged Global Dvd.;Stock;7.34;N/A;N/A
393;JRO;Nuveen Floating Rate Income Opportnty Fd;Stock;7.24;N/A;N/A
410;JPC;Nuveen Preferred & Income Oprtnts Fnd;Stock;7.24;N/A;N/A
300;FPF;First Trust Intrmdt Drtn Prfrd & Incm Fd;Stock;7.22;N/A;N/A
258;LDP;Cohen & Steers Ltd DrtnPrfrrd&IncmFndInc;Stock;7.19;N/A;N/A
332;EHI;Western Asset Global High Income Fnd;Stock;7.18;N/A;N/A
373;RQI;Cohen & Steers Quality Income Realty;Stock;7.14;N/A;N/A
242;DCF;Dreyfus Alcnt Gb Cr nc 2024 Tg Tm Fd nc;Stock;6.98;N/A;N/A
237;FINS;Angel Oak Final Strategies Incm Trm Trst;Stock;6.96;N/A;N/A
329;HYI;Western Asset High Yield Dfnd Opp FI;Stock;6.95;N/A;N/A
411;JPS;Nuveen Preferred & Income Securities Fnd;Stock;6.89;N/A;N/A
103;GAIN;Gladstone Investment;Stock;6.84;0.84;12.40
109;RFI;Cohen & Steers Total Return Real. Fd;Stock;6.83;N/A;N/A
444;GDV;The Gabelli Dividend & Income Trust;Stock;6.82;N/A;N/A
331;GDO;Western Asset Global Corp Defind Opp Fnd;Stock;6.8;N/A;N/A
425;PHD;Pioneer Floating Rate Trust;Stock;6.79;N/A;N/A
422;VTA;Invesco Dynamic Credit Opportunities Fd;Stock;6.72;N/A;N/A
243;DFP;Flaherty & Crumrine Dynmc Prf&Inm Fd;Stock;6.72;N/A;N/A
358;GHY;PGIM Global Short Duration Hgh Yd Fd;Stock;6.66;N/A;N/A
105;BKT;BlackRock Income Trust;Stock;6.66;N/A;N/A
53;AWF;AllianceBernstein Global Hgh Incm Fd;Stock;6.65;N/A;N/A
297;PSF;Cohen & Steers Select Pref & Inc Fd;Stock;6.56;N/A;N/A
312;EFR;Eaton Vance Senior Floating-Rate Trust;Stock;6.55;N/A;N/A
367;BUI;Blackrock Utlts Infra&Pwr Oprtnt Trst;Stock;6.53;N/A;N/A
363;FFC;Flaherty&Crumrine Prfrd Scts Incm Fd;Stock;6.49;N/A;N/A
295;FLC;Flaherty & Crumrine Total Return Fd;Stock;6.49;N/A;N/A
366;BDJ;BlackRock Enhanced Dividend Achievers Tr;Stock;6.47;N/A;N/A
292;HTD;John Hancock Tax-Advantage Dvd Incom Fd.;Stock;6.47;N/A;N/A
36;MAIN;Main Street Capital;Stock;6.45;2.45;18.39
374;RNP;Cohen & Steers Reit & Pfd Icm Fd;Stock;6.44;N/A;N/A
445;HIO;Western Asst High Incm Opprtnty Fnd;Stock;6.37;N/A;N/A
281;GBAB;Guggenheim Taxabl Mncpl Mngd Drtn Trst;Stock;6.26;N/A;N/A
356;BGIO;BLACKROCK 2022/COM;Stock;6.21;N/A;N/A
421;EFT;Eaton Vance Floating-Rate Income Trust;Stock;6.18;N/A;N/A
371;CII;BlackRock Enhanced Capital and Income Fd;Stock;6.15;N/A;N/A
377;BLW;BlackRock Ltd. Duration Income Trust;Stock;6.04;N/A;N/A
392;FRA;BlackRock Floating Rate Income SFI;Stock;5.99;N/A;N/A
443;FCT;First Trust Senior Fltng Rate Incm Fd II;Stock;5.95;N/A;N/A
385;PFD;Flaherty & Crumrine Pref. Income Fd;Stock;5.9;N/A;N/A
260;BGT;BlackRock Floating Rate Income Trust;Stock;5.87;N/A;N/A
322;EVG;EATON VANCE SHO/COM;Stock;5.86;N/A;N/A
342;BME;Blackrock Health Sciences Trust;Stock;5.84;1.69;N/A
321;EFL;EATON VANCE FR/COM;Stock;5.8;N/A;N/A
357;CBH;ALLIANZGI CNV &/COM;Stock;5.76;N/A;N/A
253;IHIT;INVESCO HIGH IN/COM;Stock;5.71;N/A;N/A
286;MAV;Pioneer Municipal High;Stock;5.57;N/A;N/A
417;PPR;Voya Prime Rate Trust;Stock;5.57;N/A;N/A
433;BBN;Blackrock Taxable Municipal Bond Trust;Stock;5.56;N/A;N/A
427;VVR;Invesco Senior Income Trust;Stock;5.56;N/A;N/A
206;GLDI;Credit Suisse X-Links Gold Shares Covered Call ETN;Stock;5.56;N/A;N/A
387;BTZ;Blackrock Credit Allocation Income Trust;Stock;5.53;N/A;N/A
330;GFY;Western Asset Vrble Rate Strtgc Fnd;Stock;5.52;N/A;N/A
354;BST;BlackRock Science & Technology Trust;Stock;5.49;N/A;N/A
12;PBA;Pembina Pipeline;Stock;5.28;1.85;18.10
309;BBF;BlackRock Muni Income Investment Trust;Stock;5.26;N/A;N/A
313;JEMD;NUVEEN EMERGING/SH SH;Stock;5.18;N/A;N/A
272;MHI;Pioneer Municipal High Income Trust;Stock;5.06;N/A;N/A
22;SJR;Shaw Communications;Stock;5.03;1.00;17.36
346;BHK;BlackRock Core Bond Trust;Stock;5.02;N/A;N/A
149;FT;Franklin Universal Trust;Stock;4.99;N/A;N/A
409;BTA;BlackRock LT Municipal Advantage Trust;Stock;4.92;N/A;N/A
30;STAG;Stag Industrial;Stock;4.9;0.40;86.41
407;BFK;Blackrock Municipal Income Trust;Stock;4.81;N/A;N/A
132;DUC;Duff & Phelps Utility & Corp Bond Trust;Stock;4.81;N/A;N/A
252;RMI;RIVERNORTH OPPO/SH;Stock;4.79;N/A;N/A
80;LEO;Dreyfus Strategic Muni.;Stock;4.79;N/A;N/A
402;MMD;Mainstay Definedterm Municipal Opptys Fd;Stock;4.75;N/A;N/A
431;NZF;Nuveen Enhanced Municipal Crdt Opptys Fd;Stock;4.72;N/A;N/A
285;BAF;BlackRock Insured Municipal Income Inves;Stock;4.72;N/A;N/A
42;LTC;LTC Properties;Stock;4.72;2.10;24.04
68;VKQ;Invesco Municipal Trust;Stock;4.71;N/A;N/A
106;OIA;Invesco Municipal Income Opp Trust;Stock;4.69;N/A;N/A
92;PMO;Putnam Municipal Opportunities Trust;Stock;4.69;N/A;N/A
256;MUS;Blackrock MuniHoldings Insured Fd;Stock;4.68;N/A;N/A
66;VGM;Invesco Trust for Investment GradeMncpls;Stock;4.67;N/A;N/A
61;VMO;Invesco Van Kampen Munpl Oprtnty Tr;Stock;4.66;N/A;N/A
115;VPV;Invesco Pennsylvania Value Mncpl Incm Tr;Stock;4.63;N/A;N/A
97;PMM;Putnam Managed Municipal Income Trust;Stock;4.63;N/A;N/A
397;NVG;Nuveen AMT-Free Municipal Credit Income;Stock;4.62;N/A;N/A
76;MMU;Western Asset Managed Municipals Fnd;Stock;4.6;N/A;N/A
391;BBK;BlackRock Municipal Bond Trust;Stock;4.59;N/A;N/A
71;IQI;Invesco Quality Municipal Income Trust;Stock;4.59;N/A;N/A
161;CMU;MFS High Yield Municipal Trust;Stock;4.55;N/A;N/A
118;MFM;MFS Municipal Income Trust;Stock;4.52;N/A;N/A
160;KSM;DWS Strategic Municipal Income Trust;Stock;4.49;N/A;N/A
266;NMS;NUVEEN MN QLTY/SHS;Stock;4.46;N/A;N/A
325;MTT;Western Asset Municipal D Opp Trust;Stock;4.39;N/A;N/A
64;IIM;Invesco Value Municipal Income Trust;Stock;4.38;N/A;N/A
211;SLVO;Credit Suisse X-Links Silver Shares Covered Call ETN;Stock;4.37;N/A;N/A
170;MFT;BlackRock MuniYield Insured Investment;Stock;4.35;N/A;N/A
284;NAC;Nuveen California Quality Muncpl IncmFnd;Stock;4.35;N/A;N/A
129;VTN;Invesco Van Kmpn Trst for Inv Gr NY Mcps;Stock;4.33;N/A;N/A
85;EVN;Eaton Vance Municipal Income Trust;Stock;4.3;N/A;N/A
21;AVAL;GRUPO AVAL ACCI/S;Stock;4.3;0.89;10.18
282;NXJ;Nuveen New Jersey Dividend Advantg Mncpl;Stock;4.29;N/A;N/A
95;MUJ;BlackRock MuniHoldings New Jersey Ins Fn;Stock;4.28;N/A;N/A
